Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,pred_probabilities
Calabrese,656,Germany,Female,49,9,97092.87,1,1,0,74771.22,0.8701273511776696
Chialuka,658,Germany,Female,55,8,119327.93,1,0,1,119439.66,0.8681856803470858
L?,596,Germany,Male,40,5,62389.03,3,1,0,148623.43,0.8650277471419239
Y?,714,Germany,Female,49,4,93059.34,1,1,0,7571.51,0.8622531199346077
Onwubiko,699,France,Male,64,9,113109.52,1,1,0,27980.8,0.8595570243083527
Iheanacho,567,Germany,Female,49,5,134956.02,1,1,0,93953.84,0.8584421352168498
Holden,593,Germany,Female,29,5,101713.84,3,1,0,134594.99,0.8560279116294993
Townsend,633,Spain,Male,63,4,114552.6,1,1,0,73856.28,0.8547769680986271
McCarthy,517,Germany,Female,59,8,154110.99,2,1,0,101240.08,0.8547744695213082
Ferguson,601,France,Male,50,2,115625.07,1,1,0,185855.21,0.8425589167115096
Udinese,793,France,Male,56,8,119496.25,2,1,0,29880.99,0.8416900382431233
Hicks,544,Germany,Male,44,2,108895.93,1,0,0,69228.2,0.8359929520743536
Pratt,823,Germany,Female,53,4,124954.94,1,0,1,131259.6,0.8347339163394157
Chou,670,Germany,Male,43,9,111677.88,1,1,0,178827.3,0.8345232822401616
Lumholtz,722,Germany,Female,48,10,138311.76,1,1,1,3472.63,0.8331501231373842
Galkin,704,France,Male,32,7,127785.17,4,0,0,184464.7,0.8314299497206632
Hsueh,651,Germany,Female,42,1,116646.76,1,1,0,44731.8,0.8268511155934639
Lorenzen,576,Germany,Male,44,9,119530.52,1,1,0,119056.68,0.8263572075989465
Sheppard,661,Germany,Female,64,8,128751.65,2,1,0,189398.18,0.8258619954028469
Chiu,510,Germany,Female,50,7,123936.54,1,1,1,23768.01,0.8237350027006763
Cameron,577,Germany,Female,44,1,152086.15,1,0,1,44719.5,0.8213979436798685
Yuryeva,668,Germany,Female,59,5,120170.07,1,0,1,50454.8,0.8105026030883552
Peng,631,Germany,Male,48,1,106396.48,1,1,1,150661.42,0.8048305990294882
Feng,850,France,Male,47,6,0.0,1,1,0,187391.02,0.7998490353180311
Chiemela,445,Germany,Female,61,2,137655.31,1,0,1,29909.84,0.7969914766958378
Fang,735,France,Male,49,5,121973.28,1,1,0,148804.36,0.7926224168428726
Zikoranachidimma,624,France,Female,71,4,170252.05,3,1,1,73679.59,0.7901576379232356
Lucchese,521,Germany,Female,40,9,134504.78,1,1,0,18082.06,0.7866416967710957
Nicolay,623,Spain,Female,40,4,0.0,3,1,0,31669.18,0.7865679699494678
Manna,749,Spain,Female,46,9,66582.81,1,1,0,78753.12,0.7818709366739506
Norriss,719,Germany,Female,76,10,95052.29,1,1,0,176244.87,0.7810540331730688
Wei,479,France,Male,47,1,0.0,1,1,0,95270.83,0.7794225160463368
King,646,Spain,Male,69,10,115462.44,1,1,0,40421.87,0.7776506608130045
Tang,783,Germany,Female,42,2,139707.28,1,1,0,2150.22,0.7762097493101527
Glover,833,Germany,Male,59,1,130854.59,1,1,1,30722.52,0.7727615830287214
Hu,572,Germany,Female,54,9,97382.53,1,1,1,195771.95,0.7684654984131861
Fiorentino,706,Germany,Female,46,7,111288.18,1,1,1,149170.25,0.7676753654730599
Pinto,695,Germany,Male,52,8,103023.26,1,1,1,22485.64,0.7638530408050729
Gallop,710,Germany,Male,45,9,108231.37,1,1,1,188574.08,0.7622621433050866
Lombardo,684,Germany,Male,42,1,117691.0,1,1,1,23135.65,0.7566089176080587
Smith,610,Germany,Male,50,1,113957.01,2,1,0,196526.55,0.7549901473189737
Mazzi,516,Germany,Male,50,7,139675.07,2,1,0,45591.23,0.7507590718109602
Thompson,770,France,Female,70,9,110738.89,1,1,0,22666.77,0.7492281632848685
Thomson,646,France,Male,50,0,104129.24,2,1,0,181794.86,0.7415118810424419
Johnstone,500,Spain,Female,47,8,128486.11,1,1,0,179227.12,0.7414342062702532
Boyd,518,Germany,Female,41,5,110624.99,1,1,0,89327.67,0.7401396976817936
May,603,France,Male,51,8,186825.57,1,1,0,93739.71,0.7378226167298826
McMillan,796,Germany,Female,40,1,99745.95,1,1,0,177524.19,0.7364343910713582
Price,783,Spain,Female,44,3,81811.71,1,1,0,164213.53,0.7362824045579391
Kelly,672,France,Female,53,7,0.0,1,1,1,136910.18,0.7343418510866058
Aitken,649,Spain,Male,51,4,0.0,1,1,1,150390.57,0.7342796871217142
Obiajulu,711,France,Male,52,5,0.0,1,1,1,159808.95,0.733016591975521
Stelzer,610,France,Male,41,6,0.0,3,0,0,56118.81,0.7271368325770143
Wallace,527,Germany,Female,41,10,136733.24,1,1,1,57589.29,0.7251436303678087
Thomas,523,Germany,Male,41,0,119276.31,1,0,0,122284.38,0.7248590946069465
Smith,678,France,Female,49,3,204510.94,1,0,1,738.88,0.724295428451429
Craig,726,France,Female,53,1,113537.73,1,0,1,28367.21,0.7209424052324527
Zuyev,621,Spain,Male,53,9,170491.84,1,1,0,35588.07,0.720526287771896
Tung,632,Germany,Male,41,3,126550.7,1,0,0,177644.52,0.7190196282764546
Geach,599,France,Male,50,3,121159.65,1,0,0,4033.39,0.7167253217883217
Pendred,757,France,Male,47,3,130747.1,1,1,0,143829.54,0.7162608776297116
Henderson,649,Germany,Female,50,5,155393.32,1,1,1,87351.42,0.7156467631544017
Pirozzi,747,France,Female,45,1,114959.12,1,1,0,189362.39,0.7120672161203431
Gambrell,477,Germany,Female,58,8,145984.92,1,1,1,24564.7,0.7094702196128151
Roberts,674,France,Male,46,2,174701.05,1,1,0,90189.72,0.7075627745489279
Chukwujamuike,538,Germany,Female,42,4,80380.24,1,1,0,119216.46,0.7023031899711321
Nkemjika,686,France,Female,43,0,0.0,1,1,1,170072.9,0.7010879966872273
